Name,Scientific_Name,Pop_Global,Pop_US_Canada,Pop_Canada,Pop_USA,Max_NA_Pop
Merlin,Falco columbarius,3200000,1600000,1400000,240000,1600000
Aplomado Falcon,Falco femoralis,200000,100,0,0,100
Gyrfalcon,Falco rusticolus,83000,42000,33000,8300,42000
Peregrine Falcon,Falco peregrinus,340000,34000,0,0,34000
Prairie Falcon,Falco mexicanus,110000,98000,2400,95000,98000
Monk Parakeet,Myiopsitta monachus,20000000,59000,0,59000,59000
Green Parakeet,Psittacara holochlorus,200000,2500,0,0,2500
Budgerigar,Melopsittacus undulatus,200000000,0,0,0,0
Rose-throated Becard,Pachyramphus aglaiae,2000000,50,0,0,50
Northern Beardless-Tyrannulet,Camptostoma imberbe,2000000,10000,0,0,10000
Dusky-capped Flycatcher,Myiarchus tuberculifer,20000000,10000,0,0,10000
Ash-throated Flycatcher,Myiarchus cinerascens,10000000,6800000,0,6800000,6800000
Great Crested Flycatcher,Myiarchus crinitus,8800000,8800000,650000,8100000,8800000
Brown-crested Flycatcher,Myiarchus tyrannulus,14000000,1000000,0,1000000,1000000
Great Kiskadee,Pitangus sulphuratus,200000000,60000,0,0,60000
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,2000000,1000,0,0,1000
Tropical Kingbird,Tyrannus melancholicus,200000000,7000,0,0,7000
Couch's Kingbird,Tyrannus couchii,1100000,250000,0,250000,250000
Cassin's Kingbird,Tyrannus vociferans,8800000,2500000,0,2500000,2500000
Thick-billed Kingbird,Tyrannus crassirostris,2000000,500,0,0,500
Western Kingbird,Tyrannus verticalis,30000000,29000000,1500000,27000000,29000000
Eastern Kingbird,Tyrannus tyrannus,26000000,26000000,4400000,22000000,26000000
Gray Kingbird,Tyrannus dominicensis,670000,23000,0,23000,23000
Scissor-tailed Flycatcher,Tyrannus forficatus,9100000,7900000,0,7900000,7900000
Olive-sided Flycatcher,Contopus cooperi,1900000,1900000,1100000,830000,1900000
Greater Pewee,Contopus pertinax,2000000,6400,0,6400,6400
Western Wood-Pewee,Contopus sordidulus,9600000,8800000,2700000,6100000,8800000
Eastern Wood-Pewee,Contopus virens,6500000,6500000,360000,6100000,6500000
Yellow-bellied Flycatcher,Empidonax flaviventris,13000000,13000000,13000000,530000,13000000
Acadian Flycatcher,Empidonax virescens,5200000,5200000,0,5200000,5200000
Alder Flycatcher,Empidonax alnorum,120000000,120000000,92000000,26000000,120000000
Willow Flycatcher,Empidonax traillii,8200000,8100000,2800000,5300000,8100000
Least Flycatcher,Empidonax minimus,27000000,27000000,23000000,4200000,27000000
Hammond's Flycatcher,Empidonax hammondii,20000000,20000000,13000000,7600000,20000000
Gray Flycatcher,Empidonax wrightii,2900000,2900000,16000,2900000,2900000
Dusky Flycatcher,Empidonax oberholseri,8800000,8800000,4100000,4600000,8800000
Pacific-slope Flycatcher,Empidonax difficilis,9500000,9000000,3100000,5900000,9000000
Cordilleran Flycatcher,Empidonax occidentalis,3600000,2200000,54000,2200000,2200000
Buff-breasted Flycatcher,Empidonax fulvifrons,2000000,500,0,0,500
Black Phoebe,Sayornis nigricans,5000000,1200000,0,1200000,1200000
Eastern Phoebe,Sayornis phoebe,35000000,35000000,7400000,27000000,35000000
Say's Phoebe,Sayornis saya,5900000,5000000,280000,4800000,5000000
Vermilion Flycatcher,Pyrocephalus rubinus,15000000,540000,0,540000,540000
Loggerhead Shrike,Lanius ludovicianus,7000000,4600000,180000,4400000,4600000
Northern Shrike,Lanius borealis,180000,53000,35000,18000,53000
Black-capped Vireo,Vireo atricapilla,220000,150000,0,150000,150000
White-eyed Vireo,Vireo griseus,24000000,22000000,0,22000000,22000000
Bell's Vireo,Vireo bellii,5700000,4600000,0,4600000,4600000
Gray Vireo,Vireo vicinior,560000,550000,0,550000,550000
Hutton's Vireo,Vireo huttoni,2700000,960000,78000,890000,960000
Yellow-throated Vireo,Vireo flavifrons,4700000,4700000,56000,4600000,4700000
Cassin's Vireo,Vireo cassinii,5000000,4600000,2100000,2500000,4600000
Blue-headed Vireo,Vireo solitarius,13000000,13000000,11000000,2000000,13000000
Plumbeous Vireo,Vireo plumbeus,3500000,3000000,0,3000000,3000000
Philadelphia Vireo,Vireo philadelphicus,4000000,4000000,3900000,59000,4000000
Warbling Vireo,Vireo gilvus,53000000,52000000,29000000,24000000,52000000
Red-eyed Vireo,Vireo olivaceus,190000000,130000000,82000000,49000000,130000000
Yellow-green Vireo,Vireo flavoviridis,2000000,50,0,0,50
Black-whiskered Vireo,Vireo altiloquus,6200000,84000,0,84000,84000
Canada Jay,Perisoreus canadensis,27000000,27000000,22000000,4900000,27000000
Brown Jay,Psilorhinus morio,2000000,50,0,0,50
Green Jay,Cyanocorax yncas,880000,57000,0,57000,57000
Pinyon Jay,Gymnorhinus cyanocephalus,770000,760000,0,760000,760000
Steller's Jay,Cyanocitta stelleri,3000000,2700000,320000,2400000,2700000
Blue Jay,Cyanocitta cristata,17000000,17000000,2500000,15000000,17000000
Florida Scrub-Jay,Aphelocoma coerulescens,7500,7500,0,8000,8000
Island Scrub-Jay,Aphelocoma insularis,1700,1700,0,0,1700
California Scrub-Jay,Aphelecoma californica,1600000,1300000,0,1300000,1300000
Woodhouse's Scrub-Jay,Aphelecoma woodhouseii,880000,690000,0,690000,690000
Mexican Jay,Aphelocoma wollweberi,430000,140000,0,140000,140000
Clark's Nutcracker,Nucifraga columbiana,290000,290000,30000,260000,290000
Black-billed Magpie,Pica hudsonia,6000000,6000000,2700000,3300000,6000000
Yellow-billed Magpie,Pica nuttalli,110000,110000,0,110000,110000
American Crow,Corvus brachyrhynchos,28000000,28000000,10000000,18000000,28000000
Northwestern Crow,Corvus caurinus,700000,700000,400000,300000,700000
Fish Crow,Corvus ossifragus,470000,470000,0,470000,470000
Chihuahuan Raven,Corvus cryptoleucus,840000,280000,0,280000,280000
Common Raven,Corvus corax,29000000,8300000,5700000,2500000,8300000
Eurasian Skylark,Alauda arvensis,20000000,0,0,0,0
Horned Lark,Eremophila alpestris,140000000,100000000,28000000,73000000,100000000
Purple Martin,Progne subis,9300000,8700000,320000,8400000,8700000
Tree Swallow,Tachycineta bicolor,19000000,19000000,9900000,8700000,19000000
Violet-green Swallow,Tachycineta thalassina,7200000,6700000,1300000,5400000,6700000
Northern Rough-winged Swallow,Stelgidopteryx serripennis,27000000,20000000,1400000,19000000,20000000
Bank Swallow,Riparia riparia,29000000,7900000,2400000,5500000,7900000
Cliff Swallow,Petrochelidon pyrrhonota,83000000,78000000,7100000,71000000,78000000
